marca,antiss,AV,BA,BC,DRML,dresc,DI,EEG,EC,ES,FAFP,HTID,LADON,LSR,RE,RP,SBF,SS,SMB,UA,label
1,0.25,0.25,0.25,0,0.25,0.25,0.25,0.25,0.25,0,0,0.25,0.25,0.25,0,0,0.25,0.25,0.25,0,1
2,0.25,0.25,0,0.25,0.25,0.25,0.25,0.25,0,0,0.25,0.25,0.25,0,0.25,0.25,0.25,0.25,0,0.25,1
3,0,0.25,0,0,0.25,0.25,0.25,0,0,0,0.25,0.25,0.25,0,0,0,0.25,0,0,0,1
4,0.25,0.25,0,0.25,0,0.25,0.25,0.25,0.25,0,0,0,0.25,0.25,0.25,0.25,0,0.25,0.25,0,1
5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
7,0.25,0.25,0.25,0,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,1
8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
10,0.25,0.25,0,0,0,0.25,0,0,0,0,0,0,0.25,0,0,0,0.25,0,0,0,1
11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
13,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0,0.25,0.25,0.25,0.25,0.25,0,0,0.25,0,0.25,1
14,0.25,0.25,0,0.25,0,0.25,0,0,0.25,0,0,0,0.25,0,0,0,0.25,0.25,0,0,1
15,0.25,0,0.25,0.25,0,0,0,0.25,0.25,0,0.25,0,0,0.25,0.25,0,0.25,0.25,0.25,0,1
16,0,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,1
17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
18,0.25,0.25,0,0,0,0.25,0.25,0,0,0,0,0,0.25,0,0,0,0,0.25,0,0,2
19,0.25,0.25,0,0,0,0.25,0,0,0,0,0,0,0.25,0,0.25,0,0,0,0,0,2
20,0.25,0.25,0,0.25,0.25,0.25,0.25,0.25,0,0,0.25,0.25,0.25,0,0.25,0.25,0.25,0.25,0,0.25,2
21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
22,0.25,0.25,0,0.25,0.25,0.25,0,0,0.25,0,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0,0,2
23,0.25,0.25,0,0.25,0.25,0.25,0.25,0.25,0.25,0,0.25,0.25,0.25,0,0,0.25,0.25,0.25,0,0.25,2
24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0,0.25,2
26,0.25,0.25,0,0,0.25,0.25,0,0,0,0.25,0.25,0.25,0.25,0,0.25,0,0.25,0.25,0,0,2
27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
28,0.25,0.25,0,0,0.25,0.25,0,0,0,0.25,0.25,0.25,0.25,0,0.25,0,0.25,0.25,0,0,2
29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
32,0.25,0,0.25,0,0.25,0,0,0,0.25,0.25,0.25,0.25,0.25,0,0.25,0.25,0.25,0.25,0,0,2
33,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0,2
34,0.25,0.25,0,0,0,0.25,0,0,0.25,0,0,0,0,0.25,0,0,0,0.25,0,0,2
35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0,0.25,0
37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,0,0.25,0,0,0,0.25,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41,0.25,0.25,0,0.25,0.25,0.25,0,0,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0,0
42,0.25,0.25,0,0,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0,0.25,0
43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44,0.25,0.25,0,0.25,0,0.25,0.25,0.25,0.25,0,0,0,0.25,0.25,0.25,0.25,0,0.25,0,0.25,0
45,0.25,0.25,0,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0,0,0,0.25,0.25,0.25,0.25,0
46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48,0.25,0.25,0,0.25,0,0.25,0,0.25,0.25,0,0,0,0,0,0.25,0,0.25,0,0,0.25,0
49,0.25,0.25,0,0.25,0,0.25,0.25,0.25,0.25,0,0,0,0.25,0.25,0.25,0.25,0,0.25,0,0.25,0
50,0.25,0.25,0.25,0.25,0,0.25,0.25,0.25,0.25,0.25,0,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0,0.25,0
